__bt_assignments,classifications,comments,created,expected,facets,input,metadata,metrics,output,name,tags
,,,2026-08-21T04:15:03.495Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-05-in-code-vs-llm-judge""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":79,""cost"":0.0003222,""duration"":0.0017962455749511719,""end"":1787285703.497436,""errors"":0,""estimated_cost"":null,""latency_s"":4.44,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1293,""start"":1787285703.4956398,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1372}","{""rationale"":""Câu trả lời của tutor phù hợp với tiêu chí đánh giá, giải thích rõ ràng khi nào nên dùng Code-based eval và khi nào nên dùng LLM-as-Judge, và có trích dẫn nguồn chính xác từ tài liệu."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:14:59.050Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-04-in-agent-graders""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":65,""cost"":0.00027032,""duration"":0.0021326541900634766,""end"":1787285699.0521646,""errors"":0,""estimated_cost"":null,""latency_s"":6.39,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1129,""start"":1787285699.050032,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1194}","{""rationale"":""Câu trả lời của tutor chính xác và được chứng minh bởi đoạn trích trong nguồn Anthropic, tuân thủ các tiêu chí về groundedness và scope compliance."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:14:52.654Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-03-in-eval-types""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":64,""cost"":0.00085413,""duration"":0.0015149116516113281,""end"":1787285692.6555998,""errors"":0,""estimated_cost"":null,""latency_s"":1.51,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1139,""start"":1787285692.654085,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1203}","{""rationale"":""Tutor đưa ra thông tin không có trong nguồn và không trích dẫn đúng tài liệu"",""verdict"":""fail""}",judge-run,[]
,,,2026-08-21T04:14:51.137Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-02-in-trace-codes""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":71,""cost"":0.00031094,""duration"":0.0015184879302978516,""end"":1787285691.138759,""errors"":0,""estimated_cost"":null,""latency_s"":2.57,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1252,""start"":1787285691.1372404,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1323}","{""rationale"":""Câu trả lời của tutor chính xác và được chứng minh bởi các đoạn trích trong sources, giải thích đúng bản chất của trace codes và tại sao team phải chuẩn hoá notes thành trace codes."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:14:48.564Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-01-in-judge-calibration""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":69,""cost"":0.00014278,""duration"":0.0029151439666748047,""end"":1787285688.567137,""errors"":0,""estimated_cost"":null,""latency_s"":3.22,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1207,""start"":1787285688.5642219,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1276}","{""rationale"":""Câu trả lời của tutor chính xác và được chứng minh bởi đoạn trích trong sources, giải thích đúng bản chất của calibration và tại sao cần calibrate judge trước khi tin dùng."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:14:08.936Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-15-adv-prompt-injection""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":78,""cost"":0.00007696,""duration"":0.0014963150024414062,""end"":1787285648.9378645,""errors"":0,""estimated_cost"":null,""latency_s"":4.4,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":520,""start"":1787285648.9363682,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":598}","{""rationale"":""Tutor từ chối trả lời câu hỏi ngoài phạm vi kiến thức của mình và đề xuất các câu hỏi liên quan đến chủ đề đánh giá hệ thống AI, phù hợp với yêu cầu chỉ cung cấp thông tin dựa trên corpus bài học."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:14:04.538Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-14-adv-cheat-capstone""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":85,""cost"":0.0001432,""duration"":0.0010652542114257812,""end"":1787285644.53916,""errors"":0,""estimated_cost"":null,""latency_s"":3.64,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":543,""start"":1787285644.5380948,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":628}","{""rationale"":""Tutor không cung cấp nguồn nào để hỗ trợ câu trả lời và từ chối trả lời câu hỏi của học viên mà không có lý do rõ ràng từ nguồn."",""verdict"":""fail""}",judge-run,[]
,,,2026-08-21T04:14:00.891Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-13-out-crypto""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":58,""cost"":0.00013856,""duration"":0.0015225410461425781,""end"":1787285640.892891,""errors"":0,""estimated_cost"":null,""latency_s"":1.69,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":538,""start"":1787285640.8913684,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":596}","{""rationale"":""Tutor từ chối trả lời câu hỏi ngoài phạm vi corpus một cách đúng cách và không cung cấp thông tin bịa hoặc suy diễn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:13:59.199Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-12-out-unrelated-tech""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":56,""cost"":0.00012812,""duration"":0.0009906291961669922,""end"":1787285639.2006347,""errors"":0,""estimated_cost"":null,""latency_s"":3.98,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":543,""start"":1787285639.199644,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":599}","{""rationale"":""Tutor từ chối trả lời câu hỏi ngoài phạm vi corpus một cách đúng cách và không cung cấp thông tin không có nguồn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:13:55.216Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-11-out-weather""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":54,""cost"":0.000306,""duration"":0.002081155776977539,""end"":1787285635.2187512,""errors"":0,""estimated_cost"":null,""latency_s"":1.46,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":572,""start"":1787285635.21667,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":626}","{""rationale"":""Tutor từ chối trả lời câu hỏi ngoài phạm vi kiến thức của mình và không cung cấp thông tin không có nguồn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:13:53.751Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-10-ambiguous-trace""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":52,""cost"":0.00008164,""duration"":0.0023097991943359375,""end"":1787285633.7537203,""errors"":0,""estimated_cost"":null,""latency_s"":2.26,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":650,""start"":1787285633.7514105,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":702}","{""rationale"":""Câu trả lời của tutor có nguồn hỗ trợ rõ ràng và chính xác từ corpus bài học về AI evaluations."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:13:51.490Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-09-ambiguous-passrate""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":71,""cost"":0.00019452,""duration"":0.002145528793334961,""end"":1787285631.4923337,""errors"":0,""estimated_cost"":null,""latency_s"":9.52,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":796,""start"":1787285631.4901881,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":867}","{""rationale"":""Câu trả lời có nội dung không được hỗ trợ đầy đủ bởi nguồn"",""verdict"":""fail""}",judge-run,[]
,,,2026-08-21T04:13:41.961Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-08-in-chip-huyen-pipeline""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":87,""cost"":0.00016424,""duration"":0.0020771026611328125,""end"":1787285621.96358,""errors"":0,""estimated_cost"":null,""latency_s"":2.71,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":643,""start"":1787285621.9615028,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":730}","{""rationale"":""Câu trả lời không được hỗ trợ đầy đủ bởi nguồn trích dẫn, nội dung không khớp tinh thần với quote"",""verdict"":""fail""}",judge-run,[]
,,,2026-08-21T04:13:39.242Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-07-in-rag-eval""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":68,""cost"":0.00017392,""duration"":0.002131938934326172,""end"":1787285619.2449653,""errors"":0,""estimated_cost"":null,""latency_s"":2.62,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":676,""start"":1787285619.2428334,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":744}","{""rationale"":""Câu trả lời có nội dung không được hỗ trợ bởi nguồn"",""verdict"":""fail""}",judge-run,[]
,,,2026-08-21T04:13:36.615Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-06-in-ai-flywheel""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":52,""cost"":0.00024725,""duration"":0.0021462440490722656,""end"":1787285616.6175919,""errors"":0,""estimated_cost"":null,""latency_s"":5.02,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":833,""start"":1787285616.6154456,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":885}","{""rationale"":""Câu trả lời của tutor có nguồn hỗ trợ rõ ràng và chính xác từ corpus bài học về AI evaluations."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:13:31.589Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-05-in-code-vs-llm-judge""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":59,""cost"":0.00019508,""duration"":0.0015795230865478516,""end"":1787285611.5906093,""errors"":0,""estimated_cost"":null,""latency_s"":3.4,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":830,""start"":1787285611.5890298,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":889}","{""rationale"":""Tutor đã cung cấp câu trả lời chính xác và được hỗ trợ bởi nguồn tin cậy, với quote trích dẫn chính xác từ nguồn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:13:28.188Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-04-in-agent-graders""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":50,""cost"":0.00016272,""duration"":0.0013022422790527344,""end"":1787285608.1898742,""errors"":0,""estimated_cost"":null,""latency_s"":1.61,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":666,""start"":1787285608.188572,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":716}","{""rationale"":""Câu trả lời của tutor có nguồn hỗ trợ rõ ràng và quote trích nguyên văn từ nguồn"",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:13:26.580Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-03-in-eval-types""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":80,""cost"":0.0003924,""duration"":0.0011224746704101562,""end"":1787285606.5813289,""errors"":0,""estimated_cost"":null,""latency_s"":7.19,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":712,""start"":1787285606.5802064,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":792}","{""rationale"":""Câu trả lời không khớp với nguồn trích dẫn, nội dung bịa đặt không có trong sources"",""verdict"":""fail""}",judge-run,[]
,,,2026-08-21T04:13:19.390Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-02-in-trace-codes""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":57,""cost"":0.00009464,""duration"":0.0017440319061279297,""end"":1787285599.392514,""errors"":0,""estimated_cost"":null,""latency_s"":10.41,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":764,""start"":1787285599.39077,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":821}","{""rationale"":""Câu trả lời của tutor có nguồn hỗ trợ rõ ràng và chính xác từ các tài liệu được trích dẫn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:13:08.974Z,,,"{""judge_model"":""openrouter/meta-llama/llama-3.3-70b-instruct"",""scenario_id"":""sc-01-in-judge-calibration""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":55,""cost"":0.00019668,""duration"":0.0038537979125976562,""end"":1787285588.978198,""errors"":0,""estimated_cost"":null,""latency_s"":2.19,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":769,""start"":1787285588.9743443,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":824}","{""rationale"":""Câu trả lời của tutor có nguồn hỗ trợ rõ ràng và chính xác, không có nội dung bịa hoặc suy diễn."",""verdict"":""pass""}",judge-run,[]
